"member_casual","total","mean","median","maximum","minimum"
"casual","2343299","29.029086727728727834",12.91666666666668,"41387.2500","0.016666666666666680"
"member","3410490","12.632682464005660944",8.76666666666666,"10353.349999999980","0.016666666666666680"
